Tipo,Denominação,"Código Postal",Descritivo
LOJA,"CTT ALFÂNDEGA DA FÉ",5351-909,"ALFÂNDEGA DA FÉ"
LOJA,"CTT VILA FLOR",5361-801,"VILA FLOR"
LOJA,"CTT VILA FLOR",5361-909,"VILA FLOR"
LOJA,"CTT MIRANDELA",5371-909,MIRANDELA
PC,"TORRE DE DONA CHAMA",5386-909,"TORRE DE DONA CHAMA"
PC,"AVENIDA (CHAVES)",5401-907,CHAVES
PC,"VILA VERDE DA RAIA",5401-908,"VILA VERDE DA RAIA"
LOJA,"CTT CHAVES",5401-909,CHAVES
PC,VIDAGO,5426-909,VIDAGO
LOJA,"CTT VALPAÇOS",5431-909,VALPAÇOS
PC,"CARRAZEDO DE MONTENEGRO",5446-909,"CARRAZEDO DE MONTENEGRO"
PC,"PEDRAS SALGADAS",5451-908,"BORNES DE AGUIAR"
LOJA,"CTT VILA POUCA DE AGUIAR",5451-909,"VILA POUCA DE AGUIAR"
LOJA,"CTT BOTICAS",5461-909,BOTICAS
LOJA,"CTT MONTALEGRE",5471-909,MONTALEGRE
LOJA,"CTT ZONA INDUSTRIAL (CASTELO BRANCO)",6001-901,"CASTELO BRANCO"
PC,"CEBOLAIS DE CIMA",6001-902,"CEBOLAIS DE CIMA"
PC,TINALHAS,6001-904,TINALHAS
LOJA,"CTT CASTELO BRANCO",6001-909,"CASTELO BRANCO"
PC,"LOURIÇAL DO CAMPO",6006-906,"LOURIÇAL DO CAMPO"
PC,"ESCALOS DE CIMA",6006-908,"ESCALOS DE CIMA"
LOJA,"CTT ALCAINS",6006-909,ALCAINS
LOJA,"CTT PORTAS DE RODÃO",6031-909,"VILA VELHA DE RÓDÃO"
LOJA,"CTT GAVIÃO",6041-909,GAVIÃO
PC,ALPALHÃO,6051-908,ALPALHÃO
LOJA,"CTT NISA",6051-909,NISA
PC,MEDELIM,6061-906,MEDELIM
PC,"TERMAS DE MONFORTINHO",6061-908,MONFORTINHO
LOJA,"CTT IDANHA-A-NOVA",6061-909,IDANHA-A-NOVA
LOJA,"CTT PENAMACOR",6091-909,PENAMACOR
PC,"CERNACHE DO BONJARDIM",6101-908,"CERNACHE DO BONJARDIM"
LOJA,"CTT SERTÃ",6101-909,SERTÃ
LOJA,"CTT VILA DE REI",6111-909,"VILA DE REI"
LOJA,"CTT MAÇÃO",6121-909,MAÇÃO
PC,"SOBREIRA FORMOSA",6151-908,"SOBREIRA FORMOSA"
LOJA,"CTT PROENÇA-A-NOVA",6151-909,PROENÇA-A-NOVA
PC,MADEIRÃ,6161-908,MADEIRÃ
LOJA,"CTT OLEIROS",6161-909,OLEIROS
PC,TEIXOSO,6201-906,TEIXOSO
PC,"S LÁZARO (COVILHÃ)",6201-907,COVILHÃ
PC,TORTOSENDO,6201-908,TORTOSENDO
LOJA,"CTT COVILHÃ",6201-909,COVILHÃ
LOJA,"CTT COVILHÃ",6201-951,COVILHÃ
LOJA,"CTT COVILHÃ",6201-956,COVILHÃ
PC,"S LÁZARO (COVILHÃ)",6201-959,COVILHÃ
PC,PAÚL,6216-908,PAUL
PC,"UNHAIS DA SERRA",6216-909,"UNHAIS DA SERRA"
CDP,"6230 FUNDÃO",6231-906,FUNDÃO
PC,ALPEDRINHA,6231-907,ALPEDRINHA
PC,SILVARES,6231-908,"SILVARES FND"
LOJA,"CTT FUNDÃO",6231-909,FUNDÃO
LOJA,"CTT FUNDÃO",6231-911,FUNDÃO
LOJA,"CTT FUNDÃO",6231-912,FUNDÃO
PC,CARIA,6251-908,"CARIA BMT"
LOJA,"CTT BELMONTE",6251-909,BELMONTE
LOJA,"CTT MANTEIGAS",6261-909,MANTEIGAS
PC,LORIGA,6271-906,LORIGA
PC,"PARANHOS DA BEIRA",6271-907,"PARANHOS SEI"
PC,"S ROMÃO",6271-908,"SÃO ROMÃO SEI"
LOJA,"CTT SEIA",6271-909,SEIA
LOJA,"CTT SEIA",6271-952,SEIA
PC,"S ROMÃO",6271-958,"SÃO ROMÃO SEI"
PC,VIDE,6286-909,VIDE
PC,MELO,6291-907,MELO
PC,"VILA NOVA DE TAZEM",6291-908,"VILA NOVA DE TAZEM"
LOJA,"CTT GOUVEIA",6291-909,GOUVEIA
